Start_node,End_node,Mode,Cost_Usdlls,Time_days
Vancouver,Seattle,Truck,286,0.5
Vancouver,L.A.,Truck,2220,1.5
Vancouver,Houston,Truck,3792,2
Vancouver,Houston,Rail,2075,6
Calgary,Vancouver,Truck,895,0.5
Calgary,Vancouver,Rail,613,2
Calgary,Chicago,Truck,2664,1.5
Calgary,Chicago,Rail,806,4
Calgary,Houston,Truck,3249,2
Calgary,Seattle,Truck,1217,1
Calgary,L.A.,Truck,2517,1.5
Winnipeg,Chicago,Truck,1439,1
Winnipeg,Chicago,Rail,617,2
Winnipeg,Housten,Truck,2439,1.5
Winnipeg,L.A.,Truck,3343,2
Toronto,Halifax,Truck,1615,1
Toronto,Halifax,Rail,1025,4
Toronto,Veracruz,Truck/Water,2600,6
Toronto,Chicago,Truck,885,0.5
Toronto,Chicago,Rail,514,2
Toronto,Houston,Truck,2482,1.5
Montreal,Halifax,Rail,697,3
Montreal,Veracruz,Truck/Water,2600,6
Montreal,Chicago,Truck,1371,1
Montreal,Chicago,Rail,716,3
Montreal,Houston,Truck,2985,2
Halifax,Tampico/Altamira,Water,2100,16
Seattle,L.A.,Rail,1000,3
L.A.,El Paso,Rail,600,2
L.A.,Manzanillo,Water,1900,4
L.A.,Guadalajara,Truck,3363,2.5
L.A.,Monterrey,Truck,2847,2.5
L.A.,Mexico City,Truck,4165,3
El Paso,Guadalajara,Truck,2569,2.5
El Paso,Monterrey,Truck,1667,2
El Paso,Mexico City,Truck,2469,2.5
Chicago,Laredo,Rail,1205,2
Chicago,Houston,Rail,1106,3
Houston,Guadalajara,Truck,3055,2.5
Houston,Monterrey,Truck,2281,2
Houston,Mexico City,Truck,1099,1.5
Houston,Altamira,Water,2050,2
Houston,Veracruz,Water,2050,3
Tampico/Altamira,Guadalajara,Truck,1119,2
Tampico/Altamira,Monterrey,Truck,895,1
Tampico/Altamira,Mexico City,Truck,829,0.5
Veracruz,Guadalajara,Truck,1421,2
Veracruz,Monterrey,Truck,1529,2
Veracruz,Mexico City,Truck,782,1
Manzanillo,Guadalajara,Truck,437,1
Manzanillo,Monterrey,Truck,1161,2
Manzanillo,Mexico City,Truck,1381,2
