Description,Latitude,Longitude
Of Centrales - J. Ma. Morelos y Pavón,19.288277,-99.647289
Av morelos 500,19.261863,-99.613767
"Sierra de Ixtlan Benito Juárez, Toluca de Lerdo, México",19.266523,-99.637309
"Nezahualcóyotl Izcalli Toluca, Toluca de Lerdo, México",19.28197,-99.634669
"Juan Álvarez 512, 50130 Toluca de Lerdo, México",19.283913,-99.65439
"J. Ma. Pino Suárez Cuauhtémoc, 50130 Toluca de Lerdo, México",19.279383,-99.648601
"Júpiter 103, 50070 Toluca de Lerdo, México _",19.296041,-99.633875
"Sebastian Miguel Lerdo de Tejada 717, 5 de Mayo, 50090 Toluca de Lerdo, México ",19.293576,-99.645149
"Sierra Nevada 178, Fraccionamiento Valle Don Camilo, 50090 Toluca de Lerdo, México _",19.275025,-99.645984
"Benito Juárez, Universidad, Toluca de Lerdo, México",19.272718,-99.653957
"Puerto de Palos 202, Isidro Fabela, 50170 Toluca de Lerdo, México",19.271921,-99.661862
"Cirilo T. Cancelada 131, Residencial Colón y Colonia Ciprés, 50293 Toluca de Lerdo, México ",19.271391,-99.65858
"5 de Mayo 618, Americas, 50130 Toluca de Lerdo, México",19.283018,-99.643647
"Nezahualcoyotl 100 Salvador Sánchez Colin, 50150 Toluca de Lerdo, México",19.286851,-99.647356
"Calle Eduardo Gonzalez y Pichardo, Toluca de Lerdo, México, México",19.288112,-99.663656
"Monte Everest, Toluca de Lerdo, México, México",19.27618,-99.636103
"S. Felipe Plazas de San Buenaventura, Toluca de Lerdo, México",19.283633,-99.675187
"Paseo Real S. Javier Real San Javier-fraccionamiento-, Metepec, México",19.261635,-99.644505
"José Ma. Morelos y Pavón / Motolinía, Toluca de Lerdo, México, México",19.287769,-99.670054
"104 José Ma. Morelos y Pavón, Toluca de Lerdo, México, México",19.288213,-99.652955
"308 J. Ma. González Arratia, Toluca de Lerdo, México, México",19.288111,-99.644508
"900 José Ma. Morelos y Pavón, Toluca de Lerdo, México, México",19.288399,-99.641391
"Avenida Paseo Tollocan / Calle General Venustiano Carranza, Toluca de Lerdo, México, México",19.277681,-99.67536
"Calle General Venustiano Carranza, Toluca de Lerdo, México, México",19.278194,-99.67505
"313 Fco. Carbajal Bahena, Toluca de Lerdo, México, México",19.280208,-99.66657
"Calle Eduardo Gonzalez y Pichardo, Toluca de Lerdo, México, México",19.279643,-99.664162
