"","Description","Latitude","Longitude","East","North","distFromWh"
"1","Of Centrales - J. Ma. Morelos y Pavón",19.288277,-99.647289,0,0,0
"2","Av morelos 500",19.261863,-99.613767,3518.24769920847,-2937.10279238927,4583.08189824778
"3","Sierra de Ixtlan Benito Juárez, Toluca de Lerdo, México",19.266523,-99.637309,1047.43488120908,-2418.93443422588,2635.97489127973
"4","Nezahualcóyotl Izcalli Toluca, Toluca de Lerdo, México",19.28197,-99.634669,1324.51184366394,-701.306402347189,1498.72021871302
"5","Juan Álvarez 512, 50130 Toluca de Lerdo, México",19.283913,-99.65439,-745.274057312543,-485.25465987713,889.328682454113
"6","J. Ma. Pino Suárez Cuauhtémoc, 50130 Toluca de Lerdo, México",19.279383,-99.648601,-137.698854141417,-988.967677576873,998.507907692099
"7","Júpiter 103, 50070 Toluca de Lerdo, México _",19.296041,-99.633875,1407.84483917579,863.317410468144,1651.46723927885
"8","Sebastian Miguel Lerdo de Tejada 717, 5 de Mayo, 50090 Toluca de Lerdo, México ",19.293576,-99.645149,224.600265138244,589.221916289609,630.577311466381
"9","Sierra Nevada 178, Fraccionamiento Valle Don Camilo, 50090 Toluca de Lerdo, México _",19.275025,-99.645984,136.964180377309,-1473.55516789385,1479.90676041874
"10","Benito Juárez, Universidad, Toluca de Lerdo, México",19.272718,-99.653957,-699.829237318768,-1730.08186366265,1866.26477660074
"11","Puerto de Palos 202, Isidro Fabela, 50170 Toluca de Lerdo, México",19.271921,-99.661862,-1529.48582379523,-1818.7042201986,2376.34423553465
"12","Cirilo T. Cancelada 131, Residencial Colón y Colonia Ciprés, 50293 Toluca de Lerdo, México ",19.271391,-99.65858,-1185.02878189142,-1877.63753131996,2220.31887640771
"13","5 de Mayo 618, Americas, 50130 Toluca de Lerdo, México",19.283018,-99.643647,382.240264310547,-584.774119223995,698.618916272954
"14","Nezahualcoyotl 100 Salvador Sánchez Colin, 50150 Toluca de Lerdo, México",19.286851,-99.647356,-7.03187746013356,-158.56396539538,158.719811058738
"15","Calle Eduardo Gonzalez y Pichardo, Toluca de Lerdo, México, México",19.288112,-99.663656,-1717.77221410405,-18.3471628962502,1717.87019239938
"16","Monte Everest, Toluca de Lerdo, México, México",19.27618,-99.636103,1174.00867542954,-1345.1250276193,1785.40127419907
"17","S. Felipe Plazas de San Buenaventura, Toluca de Lerdo, México",19.283633,-99.675187,-2927.98980846709,-516.389239337613,2973.17711631696
"18","Paseo Real S. Javier Real San Javier-fraccionamiento-, Metepec, México",19.261635,-99.644505,292.190251469245,-2962.45523566461,2976.82988535965
"19","José Ma. Morelos y Pavón / Motolinía, Toluca de Lerdo, México, México",19.287769,-99.670054,-2389.26403375702,-56.4870227354306,2389.93167407405
"20","104 José Ma. Morelos y Pavón, Toluca de Lerdo, México, México",19.288213,-99.652955,-594.665935620381,-7.1164753054564,594.70851617245
"21","308 J. Ma. González Arratia, Toluca de Lerdo, México, México",19.288111,-99.644508,291.875391283783,-18.458357823009,292.458467154882
"22","900 José Ma. Morelos y Pavón, Toluca de Lerdo, México, México",19.288399,-99.641391,619.015123239324,13.5657810503596,619.163753149764
"23","Avenida Paseo Tollocan / Calle General Venustiano Carranza, Toluca de Lerdo, México, México",19.277681,-99.67536,-2946.14674573047,-1178.2214427257,3173.0090474937
"24","Calle General Venustiano Carranza, Toluca de Lerdo, México, México",19.278194,-99.67505,-2913.61119340911,-1121.17844535727,3121.88585516712
"25","313 Fco. Carbajal Bahena, Toluca de Lerdo, México, México",19.280208,-99.66657,-2023.6064065105,-897.231863095228,2213.59614758963
"26","Calle Eduardo Gonzalez y Pichardo, Toluca de Lerdo, México, México",19.279643,-99.664162,-1770.87863187541,-960.056996649198,2014.37845640982
